Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
07/27/2020,362,1,21,51,102,66,50,40,30,14,9,0,193,165,4,172,12,80,51,10,37,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,2,2,4,1,2,7,0,8,13,0,6,3,8,3,0,1
08/20/2020,423,3,22,48,120,86,64,58,33,10,4,0,236,185,2,176,8,69,104,17,49,0,0,0,1,0,2,0,0,0,2,1,0,2,0,0,1,0,0,0,4,5,4,3,4,1,1,0,12,10,0,11,1,4,6,0,0
08/09/2020,115,2,18,16,41,21,12,6,9,6,4,0,53,62,0,41,4,18,37,2,13,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0,5,2,1,4,2,0,4,0,10,8,0,3,0,9,3,0,3
11/09/2020,3220,14,157,386,832,616,529,426,249,117,65,0,1622,1578,20,1183,68,424,672,142,731,0,0,0,0,1,3,7,3,0,5,9,0,6,0,0,8,0,0,1,5,16,17,28,34,35,21,0,79,78,0,45,6,59,34,3,10
08/25/2020,412,4,32,52,120,75,69,50,27,9,9,1,224,184,4,181,7,60,90,18,56,0,0,0,0,0,0,0,4,0,1,3,0,0,1,2,1,0,0,0,4,4,3,9,6,4,2,0,15,17,0,8,0,12,8,3,1
03/20/2021,274,6,30,31,90,65,35,25,18,5,5,0,133,141,0,58,16,76,72,16,36,0,0,0,0,1,2,1,2,0,3,3,0,1,0,3,2,0,0,1,7,2,1,11,5,1,2,0,15,15,0,8,1,10,7,2,2
03/12/2020,21,0,8,0,6,5,2,4,3,1,0,0,6,15,0,2,0,2,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,0,0,4,4,0,0,1,4,3,0,0
03/17/2021,474,9,34,48,161,99,69,49,35,9,4,0,238,234,2,89,25,99,139,28,94,0,0,1,1,0,2,1,4,0,4,5,0,1,0,5,3,0,0,0,5,4,4,5,5,4,7,0,20,14,0,7,1,21,5,0,0
07/19/2020,100,2,23,14,27,23,9,14,6,6,1,0,53,46,1,26,2,32,25,3,12,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,3,2,2,5,5,2,2,2,0,12,11,0,2,0,16,4,0,1
03/25/2021,669,3,34,73,240,159,82,58,35,17,5,0,307,359,3,136,20,120,220,40,133,0,0,0,1,0,1,0,1,0,1,2,0,1,0,1,1,0,0,2,2,5,6,5,8,5,1,0,12,22,0,7,0,16,8,2,1
